Date,Student Loan A,Student Loan A,Student Loan A,Student Loan A,Student Loan A,Parent Loan B,gdfs,345,345,Total Payment,Total Balance
2031-03-16,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,17173509476382.53
2031-04-15,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,22043258042485.83
2031-05-15,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,28293880516952.17
2031-06-14,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,36316939775155.59
2031-07-14,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,46615030905076.02
2031-08-13,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,59833265684023.84
2031-09-12,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,76799684845340.75
2031-10-12,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,98577129713877.3
2031-11-11,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,126529822647694.03
2031-12-11,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,162408827139260.2
2032-01-10,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,208461741123429.03
2032-02-09,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,267573495100142.03
2032-03-10,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,343447075204254.5
2032-04-09,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,440835492406121.1
2032-05-09,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,565839529280018.2
2032-06-08,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,726289916335667.0
2032-07-08,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,932237878898557.5
2032-08-07,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,1196584784270037.0
2032-09-06,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,1535890332671149.8
2032-10-06,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,1971409920139042.2
2032-11-05,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,2530426157751530.5
2032-12-05,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,3247957958631783.0
2033-01-04,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,4168954256473509.5
2033-02-03,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,5351109778497263.0
2033-03-05,150.0,150.0,150.0,150.0,150.0,24.0,780.0,0,0,1554.0,6868479263615062.0
2033-04-04,0,0,0,0,0,24.0,780.0,0,0,804.0,8816116534238870.0
2033-05-04,0,0,0,0,0,24.0,780.0,0,0,804.0,1.1316029030915494e+16
2033-06-03,0,0,0,0,0,24.0,780.0,0,0,804.0,1.4524820824594118e+16
2033-07-03,0,0,0,0,0,24.0,780.0,0,0,804.0,1.864350289401363e+16
2033-08-02,0,0,0,0,0,24.0,780.0,0,0,804.0,2.3930085221473124e+16
2033-09-01,0,0,0,0,0,24.0,780.0,0,0,804.0,3.0715739523978416e+16
2033-10-01,0,0,0,0,0,24.0,780.0,0,0,804.0,3.942554511500135e+16
2033-10-31,0,0,0,0,0,24.0,780.0,0,0,804.0,5.0605117496902376e+16
2033-11-30,0,0,0,0,0,24.0,780.0,0,0,804.0,6.495478780079345e+16
2033-12-30,0,0,0,0,0,24.0,780.0,0,0,804.0,8.337347420455387e+16
2034-01-29,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0701499360225618e+17
2034-02-28,0,0,0,0,0,24.0,780.0,0,0,804.0,1.3736034110314133e+17
2034-03-30,0,0,0,0,0,24.0,780.0,0,0,804.0,1.7631046522413923e+17
2034-04-29,0,0,0,0,0,24.0,780.0,0,0,804.0,2.2630535056848726e+17
2034-05-29,0,0,0,0,0,24.0,780.0,0,0,804.0,2.904768677844504e+17
2034-06-28,0,0,0,0,0,24.0,780.0,0,0,804.0,3.7284496590959616e+17
2034-07-28,0,0,0,0,0,24.0,780.0,0,0,804.0,4.785694973387201e+17
2034-08-27,0,0,0,0,0,24.0,780.0,0,0,804.0,6.142734506936352e+17
2034-09-26,0,0,0,0,0,24.0,780.0,0,0,804.0,7.884578401368602e+17
2034-10-26,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0120342413811075e+18
2034-11-25,0,0,0,0,0,24.0,780.0,0,0,804.0,1.299008334485023e+18
2034-12-25,0,0,0,0,0,24.0,780.0,0,0,804.0,1.6673572731677184e+18
2035-01-24,0,0,0,0,0,24.0,780.0,0,0,804.0,2.1401558424083817e+18
2035-02-23,0,0,0,0,0,24.0,780.0,0,0,804.0,2.7470219511460526e+18
2035-03-25,0,0,0,0,0,24.0,780.0,0,0,804.0,3.5259720112654996e+18
2035-04-24,0,0,0,0,0,24.0,780.0,0,0,804.0,4.525802430898267e+18
2035-05-24,0,0,0,0,0,24.0,780.0,0,0,804.0,5.809146407878954e+18
2035-06-23,0,0,0,0,0,24.0,780.0,0,0,804.0,7.456397512578819e+18
2035-07-23,0,0,0,0,0,24.0,780.0,0,0,804.0,9.57074584833741e+18
2035-08-22,0,0,0,0,0,24.0,780.0,0,0,804.0,1.2284642273824807e+19
2035-09-21,0,0,0,0,0,24.0,780.0,0,0,804.0,1.5768095630923008e+19
2035-10-21,0,0,0,0,0,24.0,780.0,0,0,804.0,2.023932274818467e+19
2035-11-20,0,0,0,0,0,24.0,780.0,0,0,804.0,2.5978418376779428e+19
2035-12-20,0,0,0,0,0,24.0,780.0,0,0,804.0,3.334490139594831e+19
2036-01-19,0,0,0,0,0,24.0,780.0,0,0,804.0,4.280023644931987e+19
2036-02-18,0,0,0,0,0,24.0,780.0,0,0,804.0,5.493674185344201e+19
2036-03-19,0,0,0,0,0,24.0,780.0,0,0,804.0,7.0514694680376844e+19
2036-04-18,0,0,0,0,0,24.0,780.0,0,0,804.0,9.050995741851102e+19
2036-05-18,0,0,0,0,0,24.0,780.0,0,0,804.0,1.1617510972759556e+20
2036-06-17,0,0,0,0,0,24.0,780.0,0,0,804.0,1.4911791481473558e+20
2036-07-17,0,0,0,0,0,24.0,780.0,0,0,804.0,1.914020358649413e+20
2036-08-16,0,0,0,0,0,24.0,780.0,0,0,804.0,2.4567631178828756e+20
2036-09-15,0,0,0,0,0,24.0,780.0,0,0,804.0,3.153406906104457e+20
2036-10-15,0,0,0,0,0,24.0,780.0,0,0,804.0,4.047592152082021e+20
2036-11-14,0,0,0,0,0,24.0,780.0,0,0,804.0,5.195334036302538e+20
2036-12-14,0,0,0,0,0,24.0,780.0,0,0,804.0,6.668531495911611e+20
2037-01-13,0,0,0,0,0,24.0,780.0,0,0,804.0,8.559471248861889e+20
2037-02-12,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0986608986552862e+21
2037-03-14,0,0,0,0,0,24.0,780.0,0,0,804.0,1.4101989890958945e+21
2037-04-13,0,0,0,0,0,24.0,780.0,0,0,804.0,1.8100773325792509e+21
2037-05-13,0,0,0,0,0,24.0,780.0,0,0,804.0,2.323345836475011e+21
2037-06-12,0,0,0,0,0,24.0,780.0,0,0,804.0,2.9821576010645e+21
2037-07-12,0,0,0,0,0,24.0,780.0,0,0,804.0,3.827783112599228e+21
2037-08-11,0,0,0,0,0,24.0,780.0,0,0,804.0,4.913195584254078e+21
2037-09-10,0,0,0,0,0,24.0,780.0,0,0,804.0,6.306389400611057e+21
2037-10-10,0,0,0,0,0,24.0,780.0,0,0,804.0,8.094639545715835e+21
2037-11-09,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0389968841555803e+22
2037-12-09,0,0,0,0,0,24.0,780.0,0,0,804.0,1.3336165485668202e+22
2038-01-08,0,0,0,0,0,24.0,780.0,0,0,804.0,1.7117790493248089e+22
2038-02-07,0,0,0,0,0,24.0,780.0,0,0,804.0,2.1971739304347205e+22
2038-03-09,0,0,0,0,0,24.0,780.0,0,0,804.0,2.820208181941552e+22
2038-04-08,0,0,0,0,0,24.0,780.0,0,0,804.0,3.6199110499715535e+22
2038-05-08,0,0,0,0,0,24.0,780.0,0,0,804.0,4.6463789778402e+22
2038-06-07,0,0,0,0,0,24.0,780.0,0,0,804.0,5.963913838679819e+22
2038-07-07,0,0,0,0,0,24.0,780.0,0,0,804.0,7.655051050469849e+22
2038-08-06,0,0,0,0,0,24.0,780.0,0,0,804.0,9.825729909986642e+22
2038-09-05,0,0,0,0,0,24.0,780.0,0,0,804.0,1.2611930035147238e+23
2038-10-05,0,0,0,0,0,24.0,780.0,0,0,804.0,1.6188189647853374e+23
2038-11-04,0,0,0,0,0,24.0,780.0,0,0,804.0,2.0778539315121386e+23
2038-12-04,0,0,0,0,0,24.0,780.0,0,0,804.0,2.667053607982019e+23
2039-01-03,0,0,0,0,0,24.0,780.0,0,0,804.0,3.423327713259112e+23
2039-02-02,0,0,0,0,0,24.0,780.0,0,0,804.0,4.394052147018888e+23
2039-03-04,0,0,0,0,0,24.0,780.0,0,0,804.0,5.6400367969269835e+23
2039-04-03,0,0,0,0,0,24.0,780.0,0,0,804.0,7.239334902356964e+23
2039-05-03,0,0,0,0,0,24.0,780.0,0,0,804.0,9.292132607545856e+23
2039-06-02,0,0,0,0,0,24.0,780.0,0,0,804.0,1.1927025004480091e+24
2039-07-02,0,0,0,0,0,24.0,780.0,0,0,804.0,1.5309071820818965e+24
2039-08-01,0,0,0,0,0,24.0,780.0,0,0,804.0,1.9650137391927904e+24
2039-08-31,0,0,0,0,0,24.0,780.0,0,0,804.0,2.522216265237869e+24
2039-09-30,0,0,0,0,0,24.0,780.0,0,0,804.0,3.2374200555176487e+24
2039-10-30,0,0,0,0,0,24.0,780.0,0,0,804.0,4.155428208246626e+24
2039-11-29,0,0,0,0,0,24.0,780.0,0,0,804.0,5.33374826181793e+24
2039-12-29,0,0,0,0,0,24.0,780.0,0,0,804.0,6.846194686744384e+24
2040-01-28,0,0,0,0,0,24.0,780.0,0,0,804.0,8.787512906136284e+24
2040-02-27,0,0,0,0,0,24.0,780.0,0,0,804.0,1.1279314511026984e+25
2040-03-28,0,0,0,0,0,24.0,780.0,0,0,804.0,1.4477695475112718e+25
2040-04-27,0,0,0,0,0,24.0,780.0,0,0,804.0,1.8583014602987147e+25
2040-05-27,0,0,0,0,0,24.0,780.0,0,0,804.0,2.3852444771231447e+25
2040-06-26,0,0,0,0,0,24.0,780.0,0,0,804.0,3.061608322006009e+25
2040-07-26,0,0,0,0,0,24.0,780.0,0,0,804.0,3.929763010574836e+25
2040-08-25,0,0,0,0,0,24.0,780.0,0,0,804.0,5.044093069737838e+25
2040-09-24,0,0,0,0,0,24.0,780.0,0,0,804.0,6.47440439225254e+25
2040-10-24,0,0,0,0,0,24.0,780.0,0,0,804.0,8.310297144576206e+25
2040-11-23,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0666778663654664e+26
2040-12-23,0,0,0,0,0,24.0,780.0,0,0,804.0,1.369146795595126e+26
2041-01-22,0,0,0,0,0,24.0,780.0,0,0,804.0,1.7573843116063468e+26
2041-02-21,0,0,0,0,0,24.0,780.0,0,0,804.0,2.255711095856366e+26
2041-03-23,0,0,0,0,0,24.0,780.0,0,0,804.0,2.895344242215637e+26
2041-04-22,0,0,0,0,0,24.0,780.0,0,0,804.0,3.7163528150082905e+26
2041-05-22,0,0,0,0,0,24.0,780.0,0,0,804.0,4.770167928305162e+26
2041-06-21,0,0,0,0,0,24.0,780.0,0,0,804.0,6.1228045874273106e+26
2041-07-21,0,0,0,0,0,24.0,780.0,0,0,804.0,7.858997121122452e+26
2041-08-20,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0087507263687312e+27
2041-09-19,0,0,0,0,0,24.0,780.0,0,0,804.0,1.2947937405582205e+27
2041-10-19,0,0,0,0,0,24.0,780.0,0,0,804.0,1.6619475820589762e+27
2041-11-18,0,0,0,0,0,24.0,780.0,0,0,804.0,2.1332121703962474e+27
2041-12-18,0,0,0,0,0,24.0,780.0,0,0,804.0,2.7381093200839506e+27
2042-01-17,0,0,0,0,0,24.0,780.0,0,0,804.0,3.5145320998885775e+27
2042-02-16,0,0,0,0,0,24.0,780.0,0,0,804.0,4.5111185994460237e+27
2042-03-18,0,0,0,0,0,24.0,780.0,0,0,804.0,5.790298805042362e+27
2042-04-17,0,0,0,0,0,24.0,780.0,0,0,804.0,7.43220545249958e+27
2042-05-17,0,0,0,0,0,24.0,780.0,0,0,804.0,9.539693847934393e+27
2042-06-16,0,0,0,0,0,24.0,780.0,0,0,804.0,1.2244785117143186e+28
2042-07-16,0,0,0,0,0,24.0,780.0,0,0,804.0,1.57169365133742e+28
2042-08-15,0,0,0,0,0,24.0,780.0,0,0,804.0,2.017365686716661e+28
2042-09-14,0,0,0,0,0,24.0,780.0,0,0,804.0,2.5894132170596044e+28
2042-10-14,0,0,0,0,0,24.0,780.0,0,0,804.0,3.3236714854586976e+28
2042-11-13,0,0,0,0,0,24.0,780.0,0,0,804.0,4.266137235444931e+28
2042-12-13,0,0,0,0,0,24.0,780.0,0,0,804.0,5.475850122756028e+28
2043-01-12,0,0,0,0,0,24.0,780.0,0,0,804.0,7.02859118496219e+28
2043-02-11,0,0,0,0,0,24.0,780.0,0,0,804.0,9.021630055218593e+28
2043-03-13,0,0,0,0,0,24.0,780.0,0,0,804.0,1.157981830375318e+29
2043-04-12,0,0,0,0,0,24.0,780.0,0,0,804.0,1.4863410617283192e+29
2043-05-12,0,0,0,0,0,24.0,780.0,0,0,804.0,1.907810376492377e+29
2043-06-11,0,0,0,0,0,24.0,780.0,0,0,804.0,2.4487922229772015e+29
2043-07-11,0,0,0,0,0,24.0,780.0,0,0,804.0,3.14317577113649e+29
2043-08-10,0,0,0,0,0,24.0,780.0,0,0,804.0,4.0344598596642344e+29
2043-09-09,0,0,0,0,0,24.0,780.0,0,0,804.0,5.178477929459435e+29
2043-10-09,0,0,0,0,0,24.0,780.0,0,0,804.0,6.646895643703411e+29
2043-11-08,0,0,0,0,0,24.0,780.0,0,0,804.0,8.531700298835748e+29
2043-12-08,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0950963260286433e+30
2044-01-07,0,0,0,0,0,24.0,780.0,0,0,804.0,1.4056236403956694e+30
2044-02-06,0,0,0,0,0,24.0,780.0,0,0,804.0,1.804204590480469e+30
2044-03-07,0,0,0,0,0,24.0,780.0,0,0,804.0,2.3158078099728758e+30
2044-04-06,0,0,0,0,0,24.0,780.0,0,0,804.0,2.972482079376143e+30
2044-05-06,0,0,0,0,0,24.0,780.0,0,0,804.0,3.8153639840759533e+30
2044-06-05,0,0,0,0,0,24.0,780.0,0,0,804.0,4.897254867231737e+30
2044-07-05,0,0,0,0,0,24.0,780.0,0,0,804.0,6.285928507665942e+30
2044-08-04,0,0,0,0,0,24.0,780.0,0,0,804.0,8.06837672833286e+30
2044-09-03,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0356258896503958e+31
2044-10-03,0,0,0,0,0,24.0,780.0,0,0,804.0,1.3292896693183847e+31
2044-11-02,0,0,0,0,0,24.0,780.0,0,0,804.0,1.7062252330840088e+31
2044-12-02,0,0,0,0,0,24.0,780.0,0,0,804.0,2.190045264931118e+31
2045-01-01,0,0,0,0,0,24.0,780.0,0,0,804.0,2.811058100329394e+31
2045-01-31,0,0,0,0,0,24.0,780.0,0,0,804.0,3.608166356176222e+31
2045-03-02,0,0,0,0,0,24.0,780.0,0,0,804.0,4.631303939365918e+31
2045-04-01,0,0,0,0,0,24.0,780.0,0,0,804.0,5.9445640975148835e+31
2045-05-01,0,0,0,0,0,24.0,780.0,0,0,804.0,7.630214464892391e+31
2045-05-31,0,0,0,0,0,24.0,780.0,0,0,804.0,9.793850621375575e+31
2045-06-30,0,0,0,0,0,24.0,780.0,0,0,804.0,1.2571011003053307e+32
2045-07-30,0,0,0,0,0,24.0,780.0,0,0,804.0,1.6135667547754724e+32
2045-08-29,0,0,0,0,0,24.0,780.0,0,0,804.0,2.0711123961981064e+32
2045-09-28,0,0,0,0,0,24.0,780.0,0,0,804.0,2.6584004318323638e+32
2045-10-28,0,0,0,0,0,24.0,780.0,0,0,804.0,3.412220828256062e+32
2045-11-27,0,0,0,0,0,24.0,780.0,0,0,804.0,4.379795775446479e+32
2045-12-27,0,0,0,0,0,24.0,780.0,0,0,804.0,5.621737865196371e+32
2046-01-26,0,0,0,0,0,24.0,780.0,0,0,804.0,7.215847095464383e+32
2046-02-25,0,0,0,0,0,24.0,780.0,0,0,804.0,9.261984559520723e+32
2046-03-27,0,0,0,0,0,24.0,780.0,0,0,804.0,1.1888328126398517e+33
2046-04-26,0,0,0,0,0,24.0,780.0,0,0,804.0,1.5259401992377274e+33
2046-05-26,0,0,0,0,0,24.0,780.0,0,0,804.0,1.9586383105284254e+33
2046-06-25,0,0,0,0,0,24.0,780.0,0,0,804.0,2.5140330095412802e+33
2046-07-25,0,0,0,0,0,24.0,780.0,0,0,804.0,3.2269163423838074e+33
2046-08-24,0,0,0,0,0,24.0,780.0,0,0,804.0,4.141946044950175e+33
2046-09-23,0,0,0,0,0,24.0,780.0,0,0,804.0,5.316443074134677e+33
2046-10-23,0,0,0,0,0,24.0,780.0,0,0,804.0,6.823982411594784e+33
2046-11-22,0,0,0,0,0,24.0,780.0,0,0,804.0,8.759002081731935e+33
2046-12-22,0,0,0,0,0,24.0,780.0,0,0,804.0,1.1242719110387428e+34
2047-01-21,0,0,0,0,0,24.0,780.0,0,0,804.0,1.4430723022510987e+34
2047-02-20,0,0,0,0,0,24.0,780.0,0,0,804.0,1.852272256451068e+34
2047-03-22,0,0,0,0,0,24.0,780.0,0,0,804.0,2.377505622321439e+34
2047-04-21,0,0,0,0,0,24.0,780.0,0,0,804.0,3.051675024815327e+34
2047-05-21,0,0,0,0,0,24.0,780.0,0,0,804.0,3.9170130113040567e+34
2047-06-20,0,0,0,0,0,24.0,780.0,0,0,804.0,5.027727659714933e+34
2047-07-20,0,0,0,0,0,24.0,780.0,0,0,804.0,6.453398379661496e+34
2047-08-19,0,0,0,0,0,24.0,780.0,0,0,804.0,8.283334632524413e+34
2047-09-18,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0632170617363528e+35
2047-10-18,0,0,0,0,0,24.0,780.0,0,0,804.0,1.364704639516387e+35
2047-11-17,0,0,0,0,0,24.0,780.0,0,0,804.0,1.751682530447746e+35
2047-12-17,0,0,0,0,0,24.0,780.0,0,0,804.0,2.248392508259641e+35
2048-01-16,0,0,0,0,0,24.0,780.0,0,0,804.0,2.8859503838894297e+35
2048-02-15,0,0,0,0,0,24.0,780.0,0,0,804.0,3.704295218773145e+35
2048-03-16,0,0,0,0,0,24.0,780.0,0,0,804.0,4.754691260260872e+35
2048-04-15,0,0,0,0,0,24.0,780.0,0,0,804.0,6.1029393299512836e+35
2048-05-15,0,0,0,0,0,24.0,780.0,0,0,804.0,7.833498838581305e+35
2048-06-14,0,0,0,0,0,24.0,780.0,0,0,804.0,1.0054778646233812e+36
2048-07-14,0,0,0,0,0,24.0,780.0,0,0,804.0,1.2905928207563127e+36
2048-08-13,0,0,0,0,0,24.0,780.0,0,0,804.0,1.6565554425324177e+36
2048-09-12,0,0,0,0,0,24.0,780.0,0,0,804.0,2.126291026921747e+36
2048-10-12,0,0,0,0,0,24.0,780.0,0,0,804.0,2.7292256057885987e+36
2048-11-11,0,0,0,0,0,24.0,780.0,0,0,804.0,3.5031293049642696e+36
2048-12-11,0,0,0,0,0,24.0,780.0,0,0,804.0,4.496482409248658e+36
2049-01-10,0,0,0,0,0,24.0,780.0,0,0,804.0,5.771512352693141e+36
2049-02-09,0,0,0,0,0,24.0,780.0,0,0,804.0,7.408091882840374e+36
2049-03-11,0,0,0,0,0,24.0,780.0,0,0,804.0,9.508742594823877e+36
2049-04-10,0,0,0,0,0,24.0,780.0,0,0,804.0,1.220505727582188e+37
2049-05-10,0,0,0,0,0,24.0,780.0,0,0,804.0,1.5665943380061783e+37
2049-06-09,0,0,0,0,0,24.0,780.0,0,0,804.0,2.0108204037147796e+37
2049-07-09,0,0,0,0,0,24.0,780.0,0,0,804.0,2.5810119428503404e+37
2049-08-08,0,0,0,0,0,24.0,780.0,0,0,804.0,3.312887932124341e+37
2049-09-07,0,0,0,0,0,24.0,780.0,0,0,804.0,4.2522958800006953e+37
